name, latitude, longitude, timestamp
activity, -5.8426842, -35.2005043, 2022-04-05T01:11:50.971Z
activity, -5.841268, -35.2039756, 2022-04-05T01:11:50.971Z
activity, -5.8448381, -35.2037658, 2022-04-05T01:11:50.971Z
activity, -5.8493609, -35.2057266, 2022-04-05T11:38:32.511Z
activity, -5.8453865, -35.2042541, 2022-04-05T11:38:32.511Z
activity, -5.8452997, -35.2041587, 2022-04-05T11:38:32.511Z
activity, -5.8453125, -35.2041702, 2022-04-05T12:46:40.371Z
activity, -5.845674, -35.2047195, 2022-04-05T12:46:40.371Z
activity, -5.8459372, -35.2050285, 2022-04-05T12:46:40.371Z
activity, -5.845335, -35.2041969, 2022-04-06T12:52:50.077Z
activity, -5.8468508, -35.2059326, 2022-04-06T12:52:50.077Z
activity, -5.8469204, -35.2071685, 2022-04-06T12:52:50.077Z
activity, -5.8535609, -35.2108688, 2022-04-06T12:52:50.077Z
activity, -5.8477649, -35.208374, 2022-04-06T12:52:50.077Z
activity, -5.815854, -35.2046089, 2022-04-06T22:24:29.963Z
activity, -5.8177461, -35.206974, 2022-04-06T22:24:29.963Z
activity, -5.8178286, -35.2070007, 2022-04-06T22:24:29.963Z
activity, -5.8209333, -35.2081222, 2022-04-06T22:24:29.963Z
activity, -5.8257021, -35.209877, 2022-04-06T22:24:29.963Z
activity, -5.8264985, -35.2102012, 2022-04-06T22:24:29.963Z
activity, -5.8271174, -35.2100334, 2022-04-06T22:24:29.963Z
activity, -5.8326835, -35.2120208, 2022-04-06T22:24:29.963Z
activity, -5.8387908, -35.2053947, 2022-04-06T22:24:29.963Z
activity, -5.841484, -35.203865, 2022-04-06T22:24:29.963Z
activity, -5.8453078, -35.2041664, 2022-04-06T22:24:29.963Z
activity, -5.8453216, -35.2041816, 2022-04-06T23:38:10.824Z
activity, -5.841268, -35.2039756, 2022-04-06T23:38:10.824Z
activity, -5.8428702, -35.2003288, 2022-04-06T23:38:10.824Z
activity, -5.8424339, -35.2001304, 2022-04-07T00:59:56.176Z
activity, -5.841268, -35.2039756, 2022-04-07T00:59:56.176Z
activity, -5.8442649, -35.2031135, 2022-04-07T00:59:56.176Z
activity, -5.8453941, -35.2042617, 2022-04-07T00:59:56.176Z
activity, -5.8453154, -35.204174, 2022-04-07T00:59:56.176Z
activity, -5.8448767, -35.2036781, 2022-04-07T21:53:29Z
activity, -5.841268, -35.2039756, 2022-04-07T21:53:29Z
activity, -5.8436379, -35.2011375, 2022-04-07T21:53:29Z
activity, -5.8425836, -35.2004966, 2022-04-07T23:27:51.099Z
activity, -5.8423299, -35.2004852, 2022-04-07T23:27:51.099Z
activity, -5.8420281, -35.2013664, 2022-04-07T23:27:51.099Z
activity, -5.8408722, -35.2011222, 2022-04-07T23:27:51.099Z
activity, -5.83961, -35.2009315, 2022-04-07T23:27:51.099Z
activity, -5.840372, -35.200756, 2022-04-07T23:27:51.099Z
activity, -5.8392271, -35.1998939, 2022-04-07T23:27:51.099Z
